"item","verb","frame","voice","polarity","conditional2","Mean","low.ci","high.ci","SD","C"
"imply-that_S-active-positive-matrix","imply","that_S","active","positive","matrix",0.65,0.15,0.15,0.241522945769824,10
"impress-that_S-passive-negative-conditional","impress","that_S","passive","negative","conditional",0.9,0.15,0.1,0.210818510677892,10
"impress-that_S-passive-negative-matrix","impress","that_S","passive","negative","matrix",0.95,0.1,0.05,0.158113883008419,10
"impress-that_S-passive-positive-conditional","impress","that_S","passive","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"impress-that_S-passive-positive-matrix","impress","that_S","passive","positive","matrix",1,0,0,0,10
"incense-that_S-passive-negative-conditional","incense","that_S","passive","negative","conditional",0.65,0.2,0.2,0.337474278855276,10
"incense-that_S-passive-negative-matrix","incense","that_S","passive","negative","matrix",0.8,0.25,0.2,0.349602949390051,10
"incense-that_S-passive-positive-conditional","incense","that_S","passive","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"incense-that_S-passive-positive-matrix","incense","that_S","passive","positive","matrix",0.85,0.15,0.101249999999999,0.241522945769824,10
"indicate-that_S-active-negative-conditional","indicate","that_S","active","negative","conditional",0.5,0,0,0,10
"indicate-that_S-active-negative-matrix","indicate","that_S","active","negative","matrix",0.55,0.15,0.15,0.283823106098773,10
"indicate-that_S-active-positive-conditional","indicate","that_S","active","positive","conditional",1,0,0,0,10
"indicate-that_S-active-positive-matrix","indicate","that_S","active","positive","matrix",0.888888888888889,0.111111111111111,0.111111111111111,0.220479275922049,9
"indict-that_S-active-negative-conditional","indict","that_S","active","negative","conditional",0.45,0.1,0.05,0.158113883008419,10
"indict-that_S-active-negative-matrix","indict","that_S","active","negative","matrix",0.4,0.15,0.1,0.210818510677892,10
"indict-that_S-active-positive-conditional","indict","that_S","active","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"indict-that_S-active-positive-matrix","indict","that_S","active","positive","matrix",0.8,0.15,0.15,0.258198889747161,10
"infer-that_S-active-negative-conditional","infer","that_S","active","negative","conditional",0.4,0.10125,0.1,0.210818510677892,10
"infer-that_S-active-negative-matrix","infer","that_S","active","negative","matrix",0.65,0.15,0.15,0.241522945769824,10
"infer-that_S-active-positive-conditional","infer","that_S","active","positive","conditional",0.6,0.1,0.15,0.210818510677892,10
"infer-that_S-active-positive-matrix","infer","that_S","active","positive","matrix",0.7,0.15,0.15,0.258198889747161,10
"inform-that_S-passive-negative-conditional","inform","that_S","passive","negative","conditional",0.7,0.15,0.15,0.258198889747161,10
"inform-that_S-passive-negative-matrix","inform","that_S","passive","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"inform-that_S-passive-positive-conditional","inform","that_S","passive","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"inform-that_S-passive-positive-matrix","inform","that_S","passive","positive","matrix",1,0,0,0,9
"infuriate-that_S-passive-negative-conditional","infuriate","that_S","passive","negative","conditional",0.7,0.15,0.15,0.258198889747161,10
"infuriate-that_S-passive-negative-matrix","infuriate","that_S","passive","negative","matrix",0.8,0.15,0.15,0.258198889747161,10
"infuriate-that_S-passive-positive-conditional","infuriate","that_S","passive","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"infuriate-that_S-passive-positive-matrix","infuriate","that_S","passive","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"insinuate-that_S-active-negative-conditional","insinuate","that_S","active","negative","conditional",0.5,0,0,0,10
"insinuate-that_S-active-negative-matrix","insinuate","that_S","active","negative","matrix",0.6,0.1,0.15,0.210818510677892,10
"insinuate-that_S-active-positive-conditional","insinuate","that_S","active","positive","conditional",0.65,0.10125,0.15,0.241522945769824,10
"insinuate-that_S-active-positive-matrix","insinuate","that_S","active","positive","matrix",0.5,0,0,0,10
"insist-that_S-active-negative-conditional","insist","that_S","active","negative","conditional",0.45,0.1,0.05,0.158113883008419,10
"insist-that_S-active-negative-matrix","insist","that_S","active","negative","matrix",0.5,0.15,0.15,0.235702260395516,10
"insist-that_S-active-positive-conditional","insist","that_S","active","positive","conditional",0.8,0.15,0.15,0.258198889747161,10
"insist-that_S-active-positive-matrix","insist","that_S","active","positive","matrix",0.75,0.15,0.15,0.263523138347365,10
"instruct-that_S-passive-negative-conditional","instruct","that_S","passive","negative","conditional",0.35,0.15,0.15,0.241522945769824,10
"instruct-that_S-passive-negative-matrix","instruct","that_S","passive","negative","matrix",0.6,0.1,0.101249999999999,0.210818510677892,10
"instruct-that_S-passive-positive-conditional","instruct","that_S","passive","positive","conditional",0.8,0.15,0.15,0.258198889747161,10
"instruct-that_S-passive-positive-matrix","instruct","that_S","passive","positive","matrix",0.9,0.15,0.1,0.210818510677892,10
"insult-that_S-passive-negative-conditional","insult","that_S","passive","negative","conditional",0.85,0.15,0.1,0.241522945769824,10
"insult-that_S-passive-negative-matrix","insult","that_S","passive","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"insult-that_S-passive-positive-conditional","insult","that_S","passive","positive","conditional",1,0,0,0,10
"insult-that_S-passive-positive-matrix","insult","that_S","passive","positive","matrix",1,0,0,0,10
"intercept-that_S-active-negative-conditional","intercept","that_S","active","negative","conditional",0.5,0.15,0.15,0.235702260395516,10
"intercept-that_S-active-negative-matrix","intercept","that_S","active","negative","matrix",0.65,0.15,0.15,0.241522945769824,10
"intercept-that_S-active-positive-conditional","intercept","that_S","active","positive","conditional",0.75,0.15,0.15,0.263523138347365,10
"intercept-that_S-active-positive-matrix","intercept","that_S","active","positive","matrix",0.75,0.15,0.15,0.263523138347365,10
"interest-that_S-passive-negative-conditional","interest","that_S","passive","negative","conditional",0.75,0.15,0.15,0.263523138347365,10
"interest-that_S-passive-negative-matrix","interest","that_S","passive","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"interest-that_S-passive-positive-conditional","interest","that_S","passive","positive","conditional",0.85,0.15,0.15,0.241522945769824,10
"interest-that_S-passive-positive-matrix","interest","that_S","passive","positive","matrix",0.8,0.15,0.15,0.258198889747161,10
"intimidate-that_S-passive-negative-conditional","intimidate","that_S","passive","negative","conditional",0.75,0.25125,0.25,0.424918292799399,10
"intimidate-that_S-passive-negative-matrix","intimidate","that_S","passive","negative","matrix",1,0,0,0,10
"intimidate-that_S-passive-positive-conditional","intimidate","that_S","passive","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"intimidate-that_S-passive-positive-matrix","intimidate","that_S","passive","positive","matrix",0.65,0.25,0.25,0.411636301174282,10
"intrigue-that_S-passive-negative-conditional","intrigue","that_S","passive","negative","conditional",0.6,0.1,0.15,0.210818510677892,10
"intrigue-that_S-passive-negative-matrix","intrigue","that_S","passive","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"intrigue-that_S-passive-positive-conditional","intrigue","that_S","passive","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"intrigue-that_S-passive-positive-matrix","intrigue","that_S","passive","positive","matrix",0.7,0.2,0.2,0.349602949390051,10
"investigate-that_S-active-negative-conditional","investigate","that_S","active","negative","conditional",0.6,0.1,0.15,0.210818510677892,10
"investigate-that_S-active-negative-matrix","investigate","that_S","active","negative","matrix",0.7,0.15,0.15,0.258198889747161,10
"investigate-that_S-active-positive-conditional","investigate","that_S","active","positive","conditional",0.55,0.05,0.1,0.158113883008419,10
"investigate-that_S-active-positive-matrix","investigate","that_S","active","positive","matrix",0.65,0.1,0.15,0.241522945769824,10
"invigorate-that_S-passive-negative-conditional","invigorate","that_S","passive","negative","conditional",0.8,0.15,0.15,0.258198889747161,10
"invigorate-that_S-passive-negative-matrix","invigorate","that_S","passive","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"invigorate-that_S-passive-positive-conditional","invigorate","that_S","passive","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"invigorate-that_S-passive-positive-matrix","invigorate","that_S","passive","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"irk-that_S-passive-negative-conditional","irk","that_S","passive","negative","conditional",0.85,0.15,0.15,0.241522945769824,10
"irk-that_S-passive-negative-matrix","irk","that_S","passive","negative","matrix",0.9,0.2,0.1,0.316227766016838,10
"irk-that_S-passive-positive-conditional","irk","that_S","passive","positive","conditional",1,0,0,0,10
"irk-that_S-passive-positive-matrix","irk","that_S","passive","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"irritate-that_S-passive-negative-conditional","irritate","that_S","passive","negative","conditional",0.95,0.1,0.05,0.158113883008419,10
"irritate-that_S-passive-negative-matrix","irritate","that_S","passive","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"irritate-that_S-passive-positive-conditional","irritate","that_S","passive","positive","conditional",1,0,0,0,10
"irritate-that_S-passive-positive-matrix","irritate","that_S","passive","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"jade-that_S-passive-negative-conditional","jade","that_S","passive","negative","conditional",0.9,0.15,0.1,0.210818510677892,10
"jade-that_S-passive-negative-matrix","jade","that_S","passive","negative","matrix",0.8,0.25,0.2,0.349602949390051,10
"jade-that_S-passive-positive-conditional","jade","that_S","passive","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"jade-that_S-passive-positive-matrix","jade","that_S","passive","positive","matrix",0.85,0.2,0.15,0.337474278855276,10
"jar-that_S-passive-negative-conditional","jar","that_S","passive","negative","conditional",0.95,0.1,0.05,0.158113883008419,10
"jar-that_S-passive-negative-matrix","jar","that_S","passive","negative","matrix",0.833333333333333,0.223611111111111,0.166666666666667,0.353553390593274,9
"jar-that_S-passive-positive-conditional","jar","that_S","passive","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"jar-that_S-passive-positive-matrix","jar","that_S","passive","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"jest-that_S-active-negative-conditional","jest","that_S","active","negative","conditional",0.5,0.15,0.15,0.235702260395516,10
"jest-that_S-active-negative-matrix","jest","that_S","active","negative","matrix",0.7,0.15,0.15,0.258198889747161,10
"jest-that_S-active-positive-conditional","jest","that_S","active","positive","conditional",0.4,0.15,0.1,0.210818510677892,10
"jest-that_S-active-positive-matrix","jest","that_S","active","positive","matrix",0.6,0.25,0.25,0.394405318873308,10
"joke-that_S-active-negative-conditional","joke","that_S","active","negative","conditional",0.5,0.15,0.15,0.235702260395516,10
"joke-that_S-active-negative-matrix","joke","that_S","active","negative","matrix",0.6,0.2,0.15,0.316227766016838,10
"joke-that_S-active-positive-conditional","joke","that_S","active","positive","conditional",0.55,0.2,0.2,0.368932393686311,10
"joke-that_S-active-positive-matrix","joke","that_S","active","positive","matrix",0.55,0.2,0.2,0.368932393686311,10
"judge-that_S-active-negative-conditional","judge","that_S","active","negative","conditional",0.6,0.25,0.2,0.394405318873308,10
"judge-that_S-active-negative-matrix","judge","that_S","active","negative","matrix",0.65,0.2,0.2,0.337474278855276,10
"judge-that_S-active-positive-conditional","judge","that_S","active","positive","conditional",0.7,0.15,0.15,0.258198889747161,10
"judge-that_S-active-positive-matrix","judge","that_S","active","positive","matrix",0.7,0.15,0.15,0.258198889747161,10
"know-that_S-active-negative-conditional","know","that_S","active","negative","conditional",0.6,0.1,0.15,0.210818510677892,10
"know-that_S-active-negative-matrix","know","that_S","active","negative","matrix",0.85,0.15,0.15,0.241522945769824,10
"know-that_S-active-positive-conditional","know","that_S","active","positive","conditional",1,0,0,0,10
"know-that_S-active-positive-matrix","know","that_S","active","positive","matrix",1,0,0,0,10
"leak-that_S-active-negative-conditional","leak","that_S","active","negative","conditional",0.75,0.15,0.15,0.263523138347365,10
"leak-that_S-active-negative-matrix","leak","that_S","active","negative","matrix",0.8,0.15,0.15,0.258198889747161,10
"leak-that_S-active-positive-conditional","leak","that_S","active","positive","conditional",0.8,0.2,0.2,0.349602949390051,10
"leak-that_S-active-positive-matrix","leak","that_S","active","positive","matrix",0.9,0.15,0.1,0.210818510677892,10
"learn-that_S-active-negative-conditional","learn","that_S","active","negative","conditional",0.6,0.2,0.2,0.316227766016838,10
"learn-that_S-active-negative-matrix","learn","that_S","active","negative","matrix",0.6,0.2,0.2,0.394405318873308,10
"learn-that_S-active-positive-conditional","learn","that_S","active","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"learn-that_S-active-positive-matrix","learn","that_S","active","positive","matrix",0.85,0.15,0.1,0.241522945769824,10
"lecture-that_S-active-negative-conditional","lecture","that_S","active","negative","conditional",0.6,0.1,0.15,0.210818510677892,10
"lecture-that_S-active-negative-matrix","lecture","that_S","active","negative","matrix",0.65,0.15,0.15,0.241522945769824,10
"lecture-that_S-active-positive-conditional","lecture","that_S","active","positive","conditional",0.85,0.15,0.15,0.241522945769824,10
"lecture-that_S-active-positive-matrix","lecture","that_S","active","positive","matrix",0.9,0.15,0.1,0.210818510677892,10
"lie-that_S-active-negative-conditional","lie","that_S","active","negative","conditional",0.7,0.15,0.15,0.258198889747161,10
"lie-that_S-active-negative-matrix","lie","that_S","active","negative","matrix",0.75,0.15,0.15,0.263523138347365,10
"lie-that_S-active-positive-conditional","lie","that_S","active","positive","conditional",0.3,0.2,0.2,0.34960294939005,10
"lie-that_S-active-positive-matrix","lie","that_S","active","positive","matrix",0.1,0.1,0.1,0.210818510677892,10
"like-that_S-active-negative-conditional","like","that_S","active","negative","conditional",0.9,0.2,0.1,0.316227766016838,10
"like-that_S-active-negative-matrix","like","that_S","active","negative","matrix",0.9,0.2,0.1,0.316227766016838,10
"like-that_S-active-positive-conditional","like","that_S","active","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"like-that_S-active-positive-matrix","like","that_S","active","positive","matrix",1,0,0,0,10
"listen-that_S-active-negative-conditional","listen","that_S","active","negative","conditional",0.6,0.1,0.15,0.210818510677892,10
"listen-that_S-active-negative-matrix","listen","that_S","active","negative","matrix",0.65,0.2,0.2,0.337474278855276,10
"listen-that_S-active-positive-conditional","listen","that_S","active","positive","conditional",0.7,0.15,0.15,0.258198889747161,10
"listen-that_S-active-positive-matrix","listen","that_S","active","positive","matrix",0.7,0.15,0.15,0.258198889747161,10
"loathe-that_S-active-negative-conditional","loathe","that_S","active","negative","conditional",0.85,0.15,0.1,0.241522945769824,10
"loathe-that_S-active-negative-matrix","loathe","that_S","active","negative","matrix",0.722222222222222,0.223611111111111,0.222222222222222,0.363241578628389,9
"loathe-that_S-active-positive-conditional","loathe","that_S","active","positive","conditional",1,0,0,0,10
"loathe-that_S-active-positive-matrix","loathe","that_S","active","positive","matrix",1,0,0,0,10
"log-that_S-active-negative-conditional","log","that_S","active","negative","conditional",0.65,0.10125,0.15,0.241522945769824,10
"log-that_S-active-negative-matrix","log","that_S","active","negative","matrix",0.85,0.15,0.1,0.241522945769824,10
"log-that_S-active-positive-conditional","log","that_S","active","positive","conditional",0.8,0.20125,0.2,0.349602949390051,10
"log-that_S-active-positive-matrix","log","that_S","active","positive","matrix",0.9,0.15,0.1,0.210818510677892,10
"love-that_S-active-negative-conditional","love","that_S","active","negative","conditional",0.95,0.1,0.05,0.158113883008419,10
"love-that_S-active-negative-matrix","love","that_S","active","negative","matrix",0.95,0.1,0.05,0.158113883008419,10
"love-that_S-active-positive-conditional","love","that_S","active","positive","conditional",1,0,0,0,10
"love-that_S-active-positive-matrix","love","that_S","active","positive","matrix",1,0,0,0,10
"madden-that_S-passive-negative-conditional","madden","that_S","passive","negative","conditional",0.7,0.15,0.15,0.258198889747161,10
"madden-that_S-passive-negative-matrix","madden","that_S","passive","negative","matrix",0.95,0.1,0.05,0.158113883008419,10
"madden-that_S-passive-positive-conditional","madden","that_S","passive","positive","conditional",0.9,0.2,0.1,0.316227766016838,10
"madden-that_S-passive-positive-matrix","madden","that_S","passive","positive","matrix",1,0,0,0,10
"maintain-that_S-active-negative-conditional","maintain","that_S","active","negative","conditional",0.55,0.05,0.1,0.158113883008419,10
"maintain-that_S-active-negative-matrix","maintain","that_S","active","negative","matrix",0.5,0.15,0.15,0.235702260395516,10
"maintain-that_S-active-positive-conditional","maintain","that_S","active","positive","conditional",0.85,0.15,0.15,0.241522945769824,10
"maintain-that_S-active-positive-matrix","maintain","that_S","active","positive","matrix",0.85,0.15,0.1,0.241522945769824,10
"manufacture-that_S-active-negative-conditional","manufacture","that_S","active","negative","conditional",0.55,0.15,0.15,0.283823106098773,10
"manufacture-that_S-active-negative-matrix","manufacture","that_S","active","negative","matrix",0.6,0.2,0.2,0.316227766016838,10
"manufacture-that_S-active-positive-conditional","manufacture","that_S","active","positive","conditional",0.4,0.25,0.25,0.394405318873308,10
"manufacture-that_S-active-positive-matrix","manufacture","that_S","active","positive","matrix",0.2,0.15,0.15,0.258198889747161,10
"mark-that_S-active-negative-conditional","mark","that_S","active","negative","conditional",0.45,0.1,0.05,0.158113883008419,10
"mark-that_S-active-negative-matrix","mark","that_S","active","negative","matrix",0.55,0.15,0.15,0.283823106098773,10
"mark-that_S-active-positive-conditional","mark","that_S","active","positive","conditional",0.75,0.15,0.15,0.263523138347365,10
"mark-that_S-active-positive-matrix","mark","that_S","active","positive","matrix",0.8,0.15,0.15,0.258198889747161,10
"marvel-that_S-active-negative-conditional","marvel","that_S","active","negative","conditional",0.8,0.15,0.15,0.258198889747161,10
"marvel-that_S-active-negative-matrix","marvel","that_S","active","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"marvel-that_S-active-positive-conditional","marvel","that_S","active","positive","conditional",1,0,0,0,10
"marvel-that_S-active-positive-matrix","marvel","that_S","active","positive","matrix",1,0,0,0,10
"marvel-that_S-passive-negative-conditional","marvel","that_S","passive","negative","conditional",0.8,0.15,0.15,0.258198889747161,10
"marvel-that_S-passive-negative-matrix","marvel","that_S","passive","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"marvel-that_S-passive-positive-conditional","marvel","that_S","passive","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"marvel-that_S-passive-positive-matrix","marvel","that_S","passive","positive","matrix",1,0,0,0,10
"measure-that_S-active-negative-conditional","measure","that_S","active","negative","conditional",0.4,0.15,0.1,0.210818510677892,10
"measure-that_S-active-negative-matrix","measure","that_S","active","negative","matrix",0.55,0.15,0.15,0.283823106098773,10
"measure-that_S-active-positive-conditional","measure","that_S","active","positive","conditional",0.8,0.15,0.15,0.258198889747161,10
"measure-that_S-active-positive-matrix","measure","that_S","active","positive","matrix",0.75,0.15,0.15,0.263523138347365,10
"mention-that_S-active-negative-conditional","mention","that_S","active","negative","conditional",0.45,0.1,0.05,0.158113883008419,10
"mention-that_S-active-negative-matrix","mention","that_S","active","negative","matrix",0.6,0.2,0.2,0.394405318873308,10
"mention-that_S-active-positive-conditional","mention","that_S","active","positive","conditional",1,0,0,0,10
"mention-that_S-active-positive-matrix","mention","that_S","active","positive","matrix",0.75,0.25,0.2,0.353553390593274,10
"miff-that_S-passive-negative-conditional","miff","that_S","passive","negative","conditional",0.85,0.15,0.1,0.241522945769824,10
"miff-that_S-passive-negative-matrix","miff","that_S","passive","negative","matrix",0.95,0.1,0.05,0.158113883008419,10
"miff-that_S-passive-positive-conditional","miff","that_S","passive","positive","conditional",0.9,0.2,0.1,0.316227766016838,10
"miff-that_S-passive-positive-matrix","miff","that_S","passive","positive","matrix",0.8,0.3,0.2,0.421637021355784,10
"misinform-that_S-passive-negative-conditional","misinform","that_S","passive","negative","conditional",0.65,0.15,0.15,0.241522945769824,10
"misinform-that_S-passive-negative-matrix","misinform","that_S","passive","negative","matrix",0.55,0.05,0.1,0.158113883008419,10
"misinform-that_S-passive-positive-conditional","misinform","that_S","passive","positive","conditional",0.1,0.1,0.15,0.210818510677892,10
"misinform-that_S-passive-positive-matrix","misinform","that_S","passive","positive","matrix",0.05,0.05,0.1,0.158113883008419,10
"mislead-that_S-passive-negative-conditional","mislead","that_S","passive","negative","conditional",0.65,0.2,0.2,0.337474278855276,10
"mislead-that_S-passive-negative-matrix","mislead","that_S","passive","negative","matrix",0.5,0.2,0.2,0.333333333333333,10
"mislead-that_S-passive-positive-conditional","mislead","that_S","passive","positive","conditional",0.05,0.05,0.1,0.158113883008419,10
"mislead-that_S-passive-positive-matrix","mislead","that_S","passive","positive","matrix",0.25,0.25,0.3,0.424918292799399,10
"miss-that_S-active-negative-conditional","miss","that_S","active","negative","conditional",0.85,0.15,0.15,0.241522945769824,10
"miss-that_S-active-negative-matrix","miss","that_S","active","negative","matrix",0.85,0.15,0.15,0.241522945769824,10
"miss-that_S-active-positive-conditional","miss","that_S","active","positive","conditional",0.85,0.25,0.15,0.337474278855276,10
"miss-that_S-active-positive-matrix","miss","that_S","active","positive","matrix",0.8,0.2,0.2,0.349602949390051,10
"moan-that_S-active-negative-conditional","moan","that_S","active","negative","conditional",0.5,0.15,0.15,0.235702260395516,10
"moan-that_S-active-negative-matrix","moan","that_S","active","negative","matrix",0.7,0.15,0.15,0.258198889747161,10
"moan-that_S-active-positive-conditional","moan","that_S","active","positive","conditional",1,0,0,0,10
"moan-that_S-active-positive-matrix","moan","that_S","active","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"mortify-that_S-passive-negative-conditional","mortify","that_S","passive","negative","conditional",0.85,0.15,0.15,0.241522945769824,10
"mortify-that_S-passive-negative-matrix","mortify","that_S","passive","negative","matrix",0.85,0.25,0.15,0.337474278855276,10
"mortify-that_S-passive-positive-conditional","mortify","that_S","passive","positive","conditional",1,0,0,0,10
"mortify-that_S-passive-positive-matrix","mortify","that_S","passive","positive","matrix",0.9,0.2,0.1,0.316227766016838,10
"mourn-that_S-active-negative-conditional","mourn","that_S","active","negative","conditional",0.65,0.15,0.15,0.241522945769824,10
"mourn-that_S-active-negative-matrix","mourn","that_S","active","negative","matrix",0.85,0.15,0.15,0.241522945769824,10
"mourn-that_S-active-positive-conditional","mourn","that_S","active","positive","conditional",0.9,0.15,0.1,0.210818510677892,10
"mourn-that_S-active-positive-matrix","mourn","that_S","active","positive","matrix",0.9,0.10125,0.1,0.210818510677892,10
"move-that_S-passive-negative-conditional","move","that_S","passive","negative","conditional",0.7,0.15,0.15,0.258198889747161,10
"move-that_S-passive-negative-matrix","move","that_S","passive","negative","matrix",0.9,0.1,0.1,0.210818510677892,10
"move-that_S-passive-positive-conditional","move","that_S","passive","positive","conditional",1,0,0,0,10
"move-that_S-passive-positive-matrix","move","that_S","passive","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"mumble-that_S-active-negative-conditional","mumble","that_S","active","negative","conditional",0.45,0.1,0.05,0.158113883008419,10
"mumble-that_S-active-negative-matrix","mumble","that_S","active","negative","matrix",0.5,0,0,0,10
"mumble-that_S-active-positive-conditional","mumble","that_S","active","positive","conditional",0.85,0.15,0.101249999999999,0.241522945769824,10
"mumble-that_S-active-positive-matrix","mumble","that_S","active","positive","matrix",0.95,0.1,0.05,0.158113883008419,10
"murmur-that_S-active-negative-conditional","murmur","that_S","active","negative","conditional",0.55,0.05,0.1,0.158113883008419,10
"murmur-that_S-active-negative-matrix","murmur","that_S","active","negative","matrix",0.6,0.1,0.15,0.210818510677892,10
"murmur-that_S-active-positive-conditional","murmur","that_S","active","positive","conditional",1,0,0,0,10
"murmur-that_S-active-positive-matrix","murmur","that_S","active","positive","matrix",0.9,0.15,0.1,0.210818510677892,10
"muse-that_S-active-negative-conditional","muse","that_S","active","negative","conditional",0.5,0.15,0.15,0.235702260395516,10
"muse-that_S-active-negative-matrix","muse","that_S","active","negative","matrix",0.55,0.15,0.151249999999999,0.283823106098773,10
"muse-that_S-active-positive-conditional","muse","that_S","active","positive","conditional",0.6,0.1,0.15,0.210818510677892,10
"muse-that_S-active-positive-matrix","muse","that_S","active","positive","matrix",0.65,0.1,0.15,0.241522945769824,10
"mutter-that_S-active-negative-conditional","mutter","that_S","active","negative","conditional",0.5,0,0,0,10
"mutter-that_S-active-negative-matrix","mutter","that_S","active","negative","matrix",0.5,0.2,0.2,0.333333333333333,10
"mutter-that_S-active-positive-conditional","mutter","that_S","active","positive","conditional",1,0,0,0,10
"mutter-that_S-active-positive-matrix","mutter","that_S","active","positive","matrix",0.85,0.15,0.101249999999999,0.241522945769824,10
"mystify-that_S-passive-negative-conditional","mystify","that_S","passive","negative","conditional",0.7,0.2,0.2,0.349602949390051,10
"mystify-that_S-passive-negative-matrix","mystify","that_S","passive","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"mystify-that_S-passive-positive-conditional","mystify","that_S","passive","positive","conditional",0.85,0.20125,0.15,0.337474278855276,10
"mystify-that_S-passive-positive-matrix","mystify","that_S","passive","positive","matrix",0.9,0.2,0.1,0.316227766016838,10
"narrate-that_S-active-negative-conditional","narrate","that_S","active","negative","conditional",0.45,0.1,0.05,0.158113883008419,10
"narrate-that_S-active-negative-matrix","narrate","that_S","active","negative","matrix",0.55,0.15,0.151249999999999,0.283823106098773,10
"narrate-that_S-active-positive-conditional","narrate","that_S","active","positive","conditional",0.7,0.15,0.15,0.258198889747161,10
"narrate-that_S-active-positive-matrix","narrate","that_S","active","positive","matrix",0.8,0.15,0.15,0.258198889747161,10
"negotiate-that_S-active-negative-conditional","negotiate","that_S","active","negative","conditional",0.45,0.1,0.05,0.158113883008419,10
"negotiate-that_S-active-negative-matrix","negotiate","that_S","active","negative","matrix",0.65,0.15,0.15,0.241522945769824,10
"negotiate-that_S-active-positive-conditional","negotiate","that_S","active","positive","conditional",0.7,0.15,0.15,0.258198889747161,10
"negotiate-that_S-active-positive-matrix","negotiate","that_S","active","positive","matrix",0.55,0.05,0.1,0.158113883008419,10
"nonplus-that_S-passive-negative-conditional","nonplus","that_S","passive","negative","conditional",0.7,0.15,0.15,0.258198889747161,10
"nonplus-that_S-passive-negative-matrix","nonplus","that_S","passive","negative","matrix",0.75,0.15,0.15,0.263523138347365,10
"nonplus-that_S-passive-positive-conditional","nonplus","that_S","passive","positive","conditional",0.7,0.15,0.15,0.258198889747161,10
"nonplus-that_S-passive-positive-matrix","nonplus","that_S","passive","positive","matrix",0.7,0.25,0.25,0.421637021355784,10
"note-that_S-active-negative-conditional","note","that_S","active","negative","conditional",0.5,0.25,0.25,0.408248290463863,10
"note-that_S-active-negative-matrix","note","that_S","active","negative","matrix",0.5,0.15,0.15,0.235702260395516,10
"note-that_S-active-positive-conditional","note","that_S","active","positive","conditional",0.95,0.1,0.05,0.158113883008419,10
"note-that_S-active-positive-matrix","note","that_S","active","positive","matrix",1,0,0,0,10
"notice-that_S-active-negative-conditional","notice","that_S","active","negative","conditional",0.7,0.20125,0.2,0.349602949390051,10
"notice-that_S-active-negative-matrix","notice","that_S","active","negative","matrix",0.9,0.15,0.1,0.210818510677892,10
"notice-that_S-active-positive-conditional","notice","that_S","active","positive","conditional",1,0,0,0,10
"notice-that_S-active-positive-matrix","notice","that_S","active","positive","matrix",1,0,0,0,10
"notify-that_S-passive-negative-conditional","notify","that_S","passive","negative","conditional",0.55,0.15,0.15,0.283823106098773,10
"notify-that_S-passive-negative-matrix","notify","that_S","passive","negative","matrix",0.8,0.20125,0.2,0.349602949390051,10
"notify-that_S-passive-positive-conditional","notify","that_S","passive","positive","conditional",0.75,0.15,0.15,0.263523138347365,10
"notify-that_S-passive-positive-matrix","notify","that_S","passive","positive","matrix",1,0,0,0,10
"observe-that_S-active-negative-conditional","observe","that_S","active","negative","conditional",0.6,0.1,0.15,0.210818510677892,10
"observe-that_S-active-negative-matrix","observe","that_S","active","negative","matrix",0.5,0.15,0.15,0.235702260395516,10
"observe-that_S-active-positive-conditional","observe","that_S","active","positive","conditional",1,0,0,0,10
"observe-that_S-active-positive-matrix","observe","that_S","active","positive","matrix",1,0,0,0,10
"obsess-that_S-passive-negative-conditional","obsess","that_S","passive","negative","conditional",0.55,0.05,0.1,0.158113883008419,10
"obsess-that_S-passive-negative-matrix","obsess","that_S","passive","negative","matrix",0.7,0.15,0.15,0.258198889747161,10
"obsess-that_S-passive-positive-conditional","obsess","that_S","passive","positive","conditional",0.7,0.15,0.15,0.258198889747161,10
